DBN,District,Borough_Code,Borough,Borough_Number,School_Name,Num_SAT_Test_Takers,SAT_Reading_Avg_Score,SAT_Math_Avg_Score,SAT_Writing_Avg_Score
17K489,17,K,Brooklyn,489,W.E.B. DUBOIS ACADEMIC HIGH SCHOOL,7,394,364,334
18K635,18,K,Brooklyn,635,OLYMPUS ACADEMY,7,400,370,370
23K646,23,K,Brooklyn,646,ASPIRATIONS DIPLOMA PLUS HIGH SCHOOL,7,311,371,311
13K553,13,K,Brooklyn,553,BROOKLYN ACADEMY HIGH SCHOOL,8,435,383,379
15K698,15,K,Brooklyn,698,SOUTH BROOKLYN COMMUNITY HIGH SCHOOL,8,430,416,425
13K336,13,K,Brooklyn,336,ACADEMY OF BUSINESS AND COMMUNITY DEVELOPMENT,9,439,374,418
15K520,15,K,Brooklyn,520,PACIFIC HIGH SCHOOL,9,352,341,300
21K728,21,K,Brooklyn,728,LIBERATION DIPLOMA PLUS,10,411,369,373
23K643,23,K,Brooklyn,643,BROOKLYN DEMOCRACY ACADEMY,11,349,338,331
14K632,14,K,Brooklyn,632,FRANCES PERKINS ACADEMY,12,382,372,368
18K673,18,K,Brooklyn,673,EAST BROOKLYN COMMUNITY HIGH SCHOOL,12,410,403,378
13K575,13,K,Brooklyn,575,BEDFORD STUYVESANT PREPARATORY HIGH SCHOOL,13,398,391,394
17K568,17,K,Brooklyn,568,BROWNSVILLE ACADEMY HIGH SCHOOL,16,372,356,335
18K578,18,K,Brooklyn,578,BROOKLYN BRIDGE ACADEMY,17,384,362,351
23K647,23,K,Brooklyn,647,METROPOLITAN DIPLOMA PLUS HIGH SCHOOL,17,350,346,332
20K658,20,K,Brooklyn,658,FRANKLIN DELANO ROOSEVELT YABC,18,338,477,316
13K674,13,K,Brooklyn,674,"CITY POLYTECHNIC HIGH SCHOOL OF ENGINEERING, ARCHITECTURE, AND TECHNOLOGY",20,441,499,413
16K393,16,K,Brooklyn,393,FREDERICK DOUGLASS ACADEMY IV SECONDARY SCHOOL,20,355,355,358
32K556,32,K,Brooklyn,556,BUSHWICK LEADERS HIGH SCHOOL FOR ACADEMIC EXCELLENCE,23,347,358,350
32K564,32,K,Brooklyn,564,BUSHWICK COMMUNITY HIGH SCHOOL,24,359,317,358
14K685,14,K,Brooklyn,685,EL PUENTE ACADEMY FOR PEACE AND JUSTICE,28,359,335,341
15K530,15,K,Brooklyn,530,METROPOLITAN CORPORATE ACADEMY HIGH SCHOOL,28,368,365,368
